# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	CoV(p)	CoV(U)
0.5             	5.93584149e+00	(1.13542435e+02 7.37957143e+01 0.00000000e+00)
1               	5.63860382e+00	(1.21972287e+02 1.14556214e+02 0.00000000e+00)
1.5             	6.75440501e+00	(1.41159711e+02 1.37757542e+02 0.00000000e+00)
2               	7.36508532e+00	(1.58725612e+02 1.60124747e+02 0.00000000e+00)
2.5             	7.31697373e+00	(-0.00000000e+00 0.00000000e+00 0.00000000e+00)
3               	7.09325524e+00	(-3.29152269e-07 -1.74339596e+02 0.00000000e+00)
3.5             	5.64721287e+00	(-1.45274618e-08 -4.49271647e+02 0.00000000e+00)
4               	3.10019426e+00	(-3.92181364e-10 -1.30216073e+04 0.00000000e+00)
4.5             	4.61654227e+00	(-1.04327504e-11 6.95376949e+03 0.00000000e+00)
5               	6.37940336e+00	(-0.00000000e+00 0.00000000e+00 0.00000000e+00)
5.5             	5.59014013e+00	(-2.63585628e-15 2.87998601e+02 0.00000000e+00)
6               	2.16807832e+00	(-2.55464706e-15 4.55852117e+02 0.00000000e+00)
6.5             	1.38799907e-01	(-3.36934397e-15 5.58086083e+02 0.00000000e+00)
7               	1.05233830e+01	(-3.94164746e-15 2.11854892e+02 0.00000000e+00)
7.5             	6.53658910e+00	(-0.00000000e+00 0.00000000e+00 0.00000000e+00)
8               	1.88387968e-01	(-1.33377021e-15 1.38758666e+02 0.00000000e+00)
8.5             	1.58345464e-01	(-2.44407977e-15 1.66097600e+02 0.00000000e+00)
9               	1.65604864e+01	(-3.81966338e-15 2.75441255e+02 0.00000000e+00)
9.5             	1.60326807e-01	(-4.38975291e-15 3.78195923e+02 0.00000000e+00)
10              	1.48461223e-01	(-0.00000000e+00 0.00000000e+00 0.00000000e+00)
