# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	sumMag(p)	sumMag(U)
0.5             	1.72841400e-01	(8.80413907e+00 5.70326129e+00 0.00000000e+00)
1               	2.09610100e-01	(1.21918822e+01 1.18079022e+01 0.00000000e+00)
1.5             	1.77298043e-01	(1.55013672e+01 1.64496768e+01 0.00000000e+00)
2               	1.67375838e-01	(1.85767691e+01 1.99963967e+01 0.00000000e+00)
2.5             	1.74487743e-01	(4.00000000e+02 0.00000000e+00 0.00000000e+00)
3               	1.05429196e-06	(4.00000000e+02 5.38882519e-05 0.00000000e+00)
3.5             	5.76733351e-08	(4.00000000e+02 8.49801198e-06 0.00000000e+00)
4               	2.77259198e-09	(4.00000000e+02 1.63332932e-06 0.00000000e+00)
4.5             	3.66086169e-11	(4.00000000e+02 3.43132938e-07 0.00000000e+00)
5               	7.33206821e-12	(4.00000000e+02 0.00000000e+00 0.00000000e+00)
5.5             	1.34049452e-14	(4.00000000e+02 6.95049092e-13 0.00000000e+00)
6               	6.59472991e-14	(4.00000000e+02 1.49974155e-12 0.00000000e+00)
6.5             	1.63717518e-12	(4.00000000e+02 1.93037307e-12 0.00000000e+00)
7               	3.45113439e-15	(4.00000000e+02 2.28047917e-12 0.00000000e+00)
7.5             	1.23525484e-14	(4.00000000e+02 0.00000000e+00 0.00000000e+00)
8               	7.82661348e-13	(4.00000000e+02 5.21174562e-13 0.00000000e+00)
8.5             	1.69108102e-12	(4.00000000e+02 1.44573465e-12 0.00000000e+00)
9               	8.56156253e-16	(4.00000000e+02 2.18674565e-12 0.00000000e+00)
9.5             	3.47330850e-12	(4.00000000e+02 2.70168968e-12 0.00000000e+00)
10              	2.34754862e-12	(4.00000000e+02 0.00000000e+00 0.00000000e+00)
