# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	sum(p)	sum(U)
0.5             	1.72841400e-01	(1.66492432e-01 1.67046263e-01 0.00000000e+00)
1               	2.09610100e-01	(1.77610553e-01 1.77489622e-01 0.00000000e+00)
1.5             	1.77298043e-01	(1.71539531e-01 1.79119305e-01 0.00000000e+00)
2               	1.67375838e-01	(1.68756926e-01 1.73967457e-01 0.00000000e+00)
2.5             	1.74487743e-01	(-4.00000000e+02 0.00000000e+00 0.00000000e+00)
3               	1.05429196e-06	(-4.00000000e+02 -1.34772063e-06 0.00000000e+00)
3.5             	5.76733351e-08	(-4.00000000e+02 -6.74313357e-08 0.00000000e+00)
4               	2.77259198e-09	(-4.00000000e+02 -4.40491273e-10 0.00000000e+00)
4.5             	3.66086169e-11	(-4.00000000e+02 1.73279608e-10 0.00000000e+00)
5               	7.33206821e-12	(-4.00000000e+02 0.00000000e+00 0.00000000e+00)
5.5             	1.34049452e-14	(-4.00000000e+02 1.12499078e-14 0.00000000e+00)
6               	6.59472991e-14	(-4.00000000e+02 1.33342002e-14 0.00000000e+00)
6.5             	1.63717518e-12	(-4.00000000e+02 1.38315317e-14 0.00000000e+00)
7               	3.45113439e-15	(-4.00000000e+02 4.34619776e-14 0.00000000e+00)
7.5             	1.23525484e-14	(-4.00000000e+02 0.00000000e+00 0.00000000e+00)
8               	7.82661348e-13	(-4.00000000e+02 1.62872443e-14 0.00000000e+00)
8.5             	1.69108102e-12	(-4.00000000e+02 3.52221544e-14 0.00000000e+00)
9               	8.56156253e-16	(-4.00000000e+02 3.19962287e-14 0.00000000e+00)
9.5             	3.47330850e-12	(-4.00000000e+02 2.88602857e-14 0.00000000e+00)
10              	2.34754862e-12	(-4.00000000e+02 0.00000000e+00 0.00000000e+00)
